bedrooms,bathrooms,square_feet,location,year_built,garage,has_pool,property_type,num_floors,has_basement,price,price_category
4,1,3463,Harlem,1993,1,1,Condo,2,1,1062805,High
5,3,3016,Staten Island,2019,0,0,Condo,3,1,984235,High
3,4,3591,Queens,1994,1,1,Condo,3,0,1090968,High
5,2,2017,Brooklyn,2009,0,1,House,2,0,947886,High
5,4,2042,Brooklyn,1991,1,1,Condo,2,0,986703,High
2,2,1481,Bronx,1984,0,0,House,1,1,571062,Low
3,1,618,Queens,2006,1,1,Condo,1,1,513772,Low
3,2,709,Manhattan,1994,1,1,House,1,0,706223,Low
3,3,2060,Staten Island,2005,0,0,Condo,2,1,735429,Low
5,3,3152,Harlem,1988,1,0,Apartment,2,1,1063518,High
4,4,1657,Queens,2019,0,0,Condo,2,0,781290,Medium
3,1,1911,Brooklyn,2019,1,1,Condo,3,0,824992,Medium
6,3,2467,Bronx,2014,0,1,Apartment,3,0,957234,High
5,4,1602,Staten Island,1992,1,0,Apartment,2,1,776432,Medium
2,1,854,Harlem,2012,1,1,Condo,1,0,524545,Low
4,1,1237,Staten Island,2013,0,0,House,1,0,561528,Low
6,4,2642,Bronx,1983,0,1,Apartment,2,1,1039760,High
6,3,2781,Brooklyn,1992,0,1,Apartment,1,1,1073887,High
2,3,3146,Harlem,1989,1,1,Apartment,2,0,936704,Medium
4,4,996,Manhattan,1980,0,0,Apartment,3,1,777850,Medium
5,3,2221,Bronx,1990,1,0,Apartment,1,1,868812,Medium
1,4,3294,Manhattan,1988,0,1,Apartment,3,1,1007156,High
4,3,1284,Queens,2017,0,0,Condo,3,1,725486,Low
2,3,3884,Staten Island,2002,1,0,Condo,2,0,971921,High
6,4,2456,Harlem,1992,1,1,Apartment,3,1,1084055,High
5,4,2666,Brooklyn,1984,0,1,House,1,1,1095700,High
4,3,1610,Manhattan,2004,0,0,House,2,1,864080,Medium
1,4,2766,Brooklyn,1989,1,0,House,2,1,881906,Medium
1,3,901,Queens,1984,1,1,Condo,1,1,557014,Low
3,2,3956,Manhattan,2001,0,1,Condo,3,1,1180959,High
3,1,826,Brooklyn,2021,1,1,Condo,2,1,659610,Low
2,1,2130,Brooklyn,2004,1,1,Condo,2,0,741658,Low
4,3,1835,Queens,2016,0,1,Apartment,2,1,799590,Medium
4,1,955,Bronx,1999,1,0,Apartment,1,1,553501,Low
6,3,1300,Harlem,2007,0,0,House,1,0,808447,Medium
6,4,3134,Queens,2000,1,0,House,2,1,1130392,High
6,2,3992,Manhattan,1990,0,0,Apartment,2,1,1280790,High
3,1,2870,Manhattan,2008,1,0,House,1,1,956019,High
4,1,2383,Staten Island,1984,0,1,Condo,3,0,763590,Low
4,4,2186,Brooklyn,2016,1,1,House,2,1,973621,High
1,2,1814,Harlem,1984,1,1,Condo,1,0,643931,Low
3,2,3642,Manhattan,2012,0,1,House,3,0,1105210,High
5,2,3147,Bronx,2015,1,0,Condo,3,1,1025849,High
3,4,3908,Bronx,1987,0,0,House,1,0,1064188,High
5,1,1645,Queens,1985,1,0,Condo,2,1,757166,Low
1,1,2245,Manhattan,1994,1,1,Apartment,1,0,756439,Low
2,2,1950,Harlem,1994,0,0,Apartment,1,1,684066,Low
4,4,3798,Harlem,1988,1,1,Condo,3,0,1127368,High
1,4,964,Manhattan,1984,0,1,Apartment,2,1,648994,Low
4,4,1667,Staten Island,2005,0,0,House,3,0,752079,Low
6,2,1118,Staten Island,2002,0,1,Apartment,1,0,677678,Low
2,4,3799,Staten Island,1995,0,0,Condo,1,1,965502,High
2,2,2226,Manhattan,2018,0,0,Apartment,2,0,760404,Low
1,2,3801,Queens,2014,1,1,House,1,0,954004,High
2,2,3176,Harlem,1989,1,1,Condo,1,1,930886,Medium
5,3,1944,Queens,2006,1,1,Apartment,3,0,881860,Medium
2,2,2833,Queens,1995,0,0,Apartment,2,0,795074,Medium
4,4,2245,Queens,2000,0,0,Apartment,1,0,850999,Medium
4,3,3445,Bronx,1991,1,0,House,2,0,984421,High
4,1,1581,Manhattan,1988,0,0,Apartment,2,0,759175,Low
4,1,2995,Brooklyn,1995,0,1,House,3,0,1007933,High
5,4,2636,Manhattan,1988,1,1,Condo,3,1,1143813,High
3,4,1521,Queens,2008,0,1,House,1,0,743627,Low
6,4,3568,Bronx,2002,0,0,Apartment,1,0,1118804,High
1,4,1556,Bronx,2018,1,0,Condo,2,1,620966,Low
4,3,960,Manhattan,2022,0,0,Apartment,3,0,716413,Low
2,4,1910,Brooklyn,2003,0,1,Apartment,1,1,780937,Medium
4,2,781,Queens,2001,0,1,House,2,0,639928,Low
2,1,2074,Bronx,2010,1,0,Apartment,2,0,626703,Low
6,4,2744,Queens,1989,0,1,House,3,1,1132998,High
6,2,1162,Queens,2021,1,0,Condo,1,0,725181,Low
6,4,913,Harlem,2006,0,0,Condo,1,0,776324,Medium
2,2,3602,Queens,2013,0,1,Condo,1,0,933960,Medium
4,3,2668,Staten Island,2018,1,0,Apartment,3,1,906582,Medium
6,1,3452,Harlem,2003,1,0,House,2,0,1087125,High
5,1,3223,Queens,2000,0,1,Apartment,1,0,990578,High
2,3,1002,Queens,1994,1,1,Apartment,3,1,629499,Low
2,2,1747,Brooklyn,1996,1,0,House,1,1,698718,Low
4,4,1212,Harlem,1998,1,0,Apartment,1,0,708133,Low
2,2,3790,Harlem,2004,0,1,Condo,3,1,1029601,High
2,1,2476,Brooklyn,2019,0,1,House,1,1,846713,Medium
6,3,2213,Staten Island,2001,0,0,Condo,1,0,848752,Medium
4,3,3617,Harlem,2020,0,0,Apartment,2,0,1096337,High
6,2,1292,Staten Island,2021,1,1,Apartment,3,0,766670,Low
6,2,2334,Queens,1993,1,0,Condo,1,1,911301,Medium
4,3,3606,Bronx,2007,0,0,Apartment,2,0,998702,High
1,1,3519,Bronx,1991,1,1,Apartment,1,1,827056,Medium
6,4,2325,Manhattan,2006,1,0,House,1,0,1058922,High
5,4,1439,Bronx,2003,1,1,House,2,1,893765,Medium
5,2,2750,Bronx,2001,1,1,Condo,1,1,977368,High
2,3,2980,Brooklyn,2018,0,0,Apartment,2,0,897934,Medium
5,3,2410,Manhattan,2020,1,1,Condo,2,0,1062111,High
2,3,3801,Manhattan,2018,1,1,Apartment,2,1,1105259,High
1,1,1352,Brooklyn,2015,1,1,House,1,1,599626,Low
4,2,2781,Bronx,2002,1,0,House,3,1,911738,Medium
4,2,3828,Bronx,1987,0,1,Apartment,3,0,1060631,High
4,2,3072,Manhattan,2007,0,0,House,1,1,1053421,High
5,1,2058,Bronx,2008,0,1,House,2,1,829966,Medium
1,2,1536,Manhattan,1994,0,1,Apartment,3,1,683494,Low
5,4,1941,Bronx,2018,0,1,House,2,0,928313,Medium
5,2,2293,Queens,1987,1,1,Apartment,3,1,941708,High
1,2,1104,Brooklyn,2007,1,1,Condo,1,0,597419,Low
1,2,3518,Harlem,2012,1,0,Apartment,3,1,905375,Medium
1,1,2837,Staten Island,1990,0,0,Condo,1,1,685672,Low
1,4,3259,Queens,2021,0,1,Apartment,2,0,882267,Medium
4,4,2569,Bronx,2016,1,1,Apartment,2,0,884204,Medium
3,3,651,Staten Island,2004,0,0,Apartment,1,1,503580,Low
3,3,2069,Harlem,2013,1,1,Apartment,3,1,845001,Medium
1,4,3259,Queens,2001,1,1,Apartment,2,1,920018,Medium
3,2,2005,Harlem,1981,0,0,Condo,1,1,726515,Low
3,2,3021,Brooklyn,1995,1,1,House,1,0,981744,High
1,2,2599,Staten Island,1990,1,0,Apartment,3,0,663273,Low
